name,scientific_name,ott_id,node_id,image_url,comments
kiwi,Apteryx mantelli,748998,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/504/26829504.jpg,
pelican,Pelecanus onocrotalus,427899,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/934/27710934.jpg,
heron,Ardea cinerea,119222,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/346/24897346.jpg,
hummingbird,Archilochus colubris,759410,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/430/27814430.jpg,
woodpecker,Dendrocopos major,348848,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/338/5830338.jpg,
toucan,Ramphastos toco,640527,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/631/33160631.jpg,
albatross,Diomedea exulans,71459,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/225/26890225.jpg,
vulture,Gyps fulvus,549517,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/675/26222675.jpg,
kingfisher,Alcedo atthis,549519,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/186/26797186.jpg,
salamander,Salamandra salamandra,689975,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/767/26796767.jpg,
axolotl,Ambystoma mexicanum,984726,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/127/31918127.jpg,
newt,Triturus cristatus,1041796,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/800/26854800.jpg,
komodo dragon,Varanus komodoensis,1091028,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/642/26916642.jpg,
tuatara,Sphenodon punctatus,35890,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/822/26796822.jpg,
cobra,Naja naja,217478,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/259/27769259.jpg,
manta ray,Mobula birostris,920351,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/737/26792737.jpg,
coelacanth,Latimeria chalumnae,773491,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/823/25629823.jpg,
lungfish,Protopterus annectens,199334,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/705/27699705.jpg,
sea anemone,Actinia equina,1084476,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/818/31920818.jpg,
sea urchin,Strongylocentrotus purpuratus,564702,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/353/32391353.jpg,
sea cucumber,Holothuria atra,920160,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/001/27789001.jpg,
sponge,Spongia officinalis,373931,,http://commons.wikimedia.org/wiki/Special:FilePath/Spongia%20officinalis.jpg,
clam,Mercenaria mercenaria,80121,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/219/19679219.jpg,
oyster,Crassostrea gigas,987409,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/841/19678841.jpg,
mussel,Mytilus edulis,499751,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/801/19678801.jpg,
nautilus,Nautilus pompilius,616359,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/671/27779671.jpg,
cuttlefish,Sepia officinalis,528817,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/862/27070862.jpg,
