ott_id,our_name,onezoom_name,scientific_name,status
31926,wheat,bread wheat,Triticum aestivum,SIMILAR
709894,rice,rice,Oryza sativa,EXACT_MATCH
62303,aloe vera,aloe,Aloe vera,SIMILAR
561107,hyrax,Hyraxes,Hyracoidea,SIMILAR
768502,binturong,Binturong,Arctictis binturong,EXACT_MATCH
851318,beluga whale,Beluga,Delphinapterus leucas,SIMILAR
903271,yellow canary,Yellow Canary,Crithagra flaviventris,EXACT_MATCH
214509,whale shark,Whale shark,Rhincodon typus,EXACT_MATCH
111438,water bear,Water bears,Tardigrada,SIMILAR
574742,flying fox,Megabats,Pteropodidae,DIFFERENT
635025,horseshoe bat,Horseshoe Bats,Rhinolophidae,SIMILAR
316928,Old World leaf-nosed bat,,Hipposideridae,NO_OZ_NAME
813048,false vampire bat,false vampire bats,Megadermatidae,SIMILAR
32051,bumblebee bat,,Craseonycteridae,NO_OZ_NAME
238416,free-tailed bat,free-tailed bats,Molossidae,SIMILAR
238434,vesper bat,Vesper Bats,Vespertilionidae,SIMILAR
267987,mouse-tailed bat,Mouse-tailed Bats,Rhinopomatidae,SIMILAR
267980,disk-winged bat,disc-winged bats,Thyropteridae,DIFFERENT
581454,sac-winged bat,"Sac-winged Bats, Sheath-tailed Bats and more",Emballonuridae,SIMILAR
292475,ghost-faced bat,Mustached Bats and more,Mormoopidae,DIFFERENT
289151,New World leaf-nosed bat,New World leaf-nosed bats,Phyllostomidae,SIMILAR
1039975,vampire bat,,Desmodontinae,NO_OZ_NAME
1039976,fruit-eating bat,,Stenodermatinae,NO_OZ_NAME
1018309,funnel-eared bat,Funnel-eared Bats,Natalidae,SIMILAR
1060468,smoky bat,smoky bats and thumbless bats,Furipteridae,SIMILAR
759861,bulldog bat,bulldog bats,Noctilionidae,SIMILAR
1018272,slit-faced bat,Slit-faced Bats,Nycteridae,SIMILAR
759857,New Zealand short-tailed bat,,Mystacinidae,NO_OZ_NAME
6788,sucker-footed bat,,Myzopodidae,NO_OZ_NAME
533619,wing-gland bat,,Cistugo,NO_OZ_NAME
238423,long-fingered bat,Long-winged Bats,Miniopterus,DIFFERENT
221784,trident bat,Trident bat,Triaenops,EXACT_MATCH
664970,glaucophyte,Glaucophytes,Glaucophyta,SIMILAR
878953,red alga,Red algae,Rhodophyta,SIMILAR
361838,green plant,Green plants,Chloroplastida,SIMILAR
979501,green alga,green algae,Chlorophyta,SIMILAR
916750,streptophyte,,Streptophyta,NO_OZ_NAME
542091,pedinophyte,,Pedinophyceae,NO_OZ_NAME
5578918,chlorodendrophyte,,Chlorodendrophyceae,NO_OZ_NAME
930075,mesostigma,,Mesostigmatophyceae,NO_OZ_NAME
897408,chlorokybus,,Chlorokybophyceae,NO_OZ_NAME
372052,klebsormidium,,Klebsormidiophyceae,NO_OZ_NAME
885793,coleochaete,,Coleochaetophyceae,NO_OZ_NAME
916310,stonewort,charophytes,Charophyceae,DIFFERENT
56610,land plant,land plants,Embryophyta,SIMILAR
56601,liverwort,hepatics,Marchantiophyta,DIFFERENT
738980,hornwort,hornworts,Anthocerotophyta,SIMILAR
10210,vascular plant,Vascular plants,Tracheophyta,SIMILAR
144795,clubmoss,,Lycopodiopsida,NO_OZ_NAME
1007992,euphyllophyte,,Euphyllophyta,NO_OZ_NAME
10218,seed plant,Seed plants,Spermatophyta,SIMILAR
5296507,gymnosperm,,Acrogymnospermae,NO_OZ_NAME
7579470,cycad,,Cycadidae,NO_OZ_NAME
7580118,ginkgo,,Ginkgophyta,NO_OZ_NAME
10209,gnetophyte,,Gnetophyta,NO_OZ_NAME
